f_gender,f_age,f_height,f_shoe_size*,f_number_of_pets*,f_platinum_albums*,f_weekly_workouts*,f_number_of_siblings*,f_pokemon_collected*,f_facebook_friends_count,f_facebook_photos_count,m_gender,m_age,m_height,m_shoe_size*,m_number_of_pets*,m_platinum_albums*,m_weekly_workouts*,m_number_of_siblings*,m_pokemon_collected*,m_facebook_friends_count,m_facebook_photos_count,members_became_friends
female,24,65,7.5,7.5,7.5,7.5,7.5,7.5,1824,230,male,24,74,6.5,7.5,7.5,7.5,7.5,7.5,1224,225,FALSE
female,25,65,6.5,7.5,7.5,7.5,7.5,7.5,1221,492,male,24,71,5,8,8,8,8,7.5,900,483,TRUE
female,24,69,7,8,8,8,8,8,1446,481,male,24,68,5,8,7,8,7.5,6.5,592,185,TRUE
female,27,64,6,8,7,7.5,7.5,7.5,988,279,male,28,74,6.5,8.5,7.5,7.5,7.5,7.5,786,315,FALSE
female,26,67,6.5,8,7.5,8,8,7.5,1218,484,male,27,76,5.5,8.5,7.5,8.5,7.5,7.5,592,511,FALSE
female,26,67,6,8,7.5,8,8.5,8,809,403,male,28,70,6.5,8.5,7,8,8,7.5,548,220,FALSE
female,23,67,7.5,8,7.5,8,8,7.5,1637,516,male,25,70,7,8,7.5,8,7.5,7.5,484,304,FALSE
female,25,70,6.5,8.5,7.5,8.5,7,7.5,956,230,male,26,72,6,7.5,7.5,8.5,7.5,7.5,859,226,TRUE
female,26,64,6,8,7.5,8,8.5,7.5,916,230,male,24,68,6,8,7.5,8,7.5,7.5,684,217,TRUE
female,26,61,6.5,7.5,7.5,7.5,7.5,7.5,801,402,male,29,68,6,7.5,7.5,7.5,7,7.5,1081,482,TRUE
female,29,64,5,7.5,7.5,7.5,7.5,7.5,288,375,male,28,69,5.5,8,7.5,8,7,7,570,185,TRUE
female,23,61,6,7.5,7,7.5,7,7,1030,494,male,23,70,7.5,8,7.5,8,7.5,7.5,1041,333,TRUE
female,24,69,6.5,8.5,7.5,8,7,7.5,472,497,male,24,70,6,7.5,7.5,7.5,7.5,7.5,484,230,TRUE
female,23,65,6,8,7.5,7.5,8.5,7,1309,549,male,24,67,6.5,8,8,8,8.5,7.5,1910,208,TRUE
female,28,65,6.5,7.5,7.5,7.5,8.5,7.5,1209,155,male,29,70,5.5,8,8,7.5,8,7,770,103,FALSE
female,22,71,5.5,8,7.5,7.5,7.5,7.5,551,505,male,22,71,7,8,7,8,7.5,7,1120,230,FALSE
female,26,62,6,7.5,7.5,7.5,7.5,7.5,1131,402,male,25,69,6.5,7.5,7.5,7.5,7.5,7,577,86,TRUE
female,25,62,6.5,7.5,7.5,8,7,7,546,723,male,25,69,5,8,7.5,7.5,7.5,7.5,857,334,FALSE
female,24,65,6,7.5,7.5,8,7.5,7.5,2632,230,male,25,75,6,7.5,7.5,7.5,7.5,7.5,1551,230,TRUE
female,24,63,6.5,8.5,7.5,9,7.5,7.5,843,230,male,25,68,5.5,8,7,8,7,7,879,226,FALSE
female,23,63,4.5,7.5,7,8,8.5,8,687,472,male,23,68,5.5,8.5,7.5,8.5,8.5,7.5,1929,229,FALSE
female,26,67,6,8,7,8,7,7,200,458,male,32,72,5.5,8,7.5,7.5,7.5,7.5,1175,303,TRUE
female,28,66,6.5,8,7,7.5,7,7.5,873,444,male,28,69,4.5,8,7,8,7.5,7,1454,291,FALSE
female,25,67,5.5,7.5,7.5,7.5,7,7.5,841,464,male,26,71,6,7.5,7.5,7.5,7,7.5,767,348,TRUE
female,27,68,4.5,7.5,7,8,7,7,204,86,male,31,69,6,8,7.5,8,8.5,7.5,565,114,TRUE
female,22,64,6.5,7.5,7.5,7.5,7.5,7.5,1188,230,male,24,74,7,8,7.5,8,7.5,7.5,700,359,FALSE
female,24,65,7,7.5,7.5,7.5,7.5,7,1306,686,male,26,69,7.5,7.5,7.5,7.5,7.5,7,842,636,FALSE
female,22,65,5,7.5,7.5,7.5,7.5,7.5,920,230,male,25,75,6.5,7.5,7.5,7.5,7.5,8,514,195,TRUE
female,28,61,6,7.5,7.5,7.5,7.5,7.5,604,421,male,29,72,5.5,9,7.5,8.5,7,7.5,995,232,FALSE
female,24,68,6.5,7.5,7.5,7.5,7.5,7,930,230,male,24,73,6.5,7.5,8,7.5,7.5,7.5,614,420,FALSE
female,24,63,5.5,8,7,7.5,8.5,7.5,1265,215,male,29,73,5.5,7.5,7,7.5,7.5,7.5,385,229,TRUE
female,29,70,5,7.5,7.5,7.5,7,7.5,1336,317,male,29,71,5.5,7.5,7.5,7.5,8,7.5,884,289,FALSE
female,23,67,6,7.5,7.5,7.5,7.5,7.5,1294,457,male,22,67,5.5,7.5,7.5,7.5,7.5,7,617,400,FALSE
female,28,70,5.5,8,7.5,8,7.5,7,989,218,male,27,71,5.5,8,7.5,7.5,7.5,7.5,302,206,FALSE
female,23,75,6.5,8,7.5,8,7.5,6.5,1646,449,male,24,74,5.5,7.5,7.5,7.5,8.5,7.5,1053,400,FALSE
female,27,63,7,8,7.5,8.5,8,7.5,967,496,male,27,70,5.5,8.5,7,8.5,8.5,8,1064,501,TRUE
female,25,68,7.5,7.5,7.5,7.5,7.5,7.5,1510,425,male,27,76,6.5,7.5,7.5,7.5,7.5,7.5,1326,230,FALSE
female,28,64,5.5,8,7.5,8,7.5,7,598,440,male,29,72,5,8,7.5,8,7.5,7.5,565,168,FALSE
female,25,62,4.5,8,7,8,7.5,7.5,598,452,male,26,68,5.5,7.5,7,7.5,7.5,7.5,554,114,FALSE
female,23,66,5,8,7,8,7.5,7.5,878,530,male,26,72,6.5,8,8,8,7.5,7.5,692,124,FALSE
female,26,69,5,8.5,7.5,8,8,7.5,885,440,male,28,73,5,8,7.5,8,7.5,7.5,973,475,TRUE
female,22,65,6.5,7.5,7,7.5,7.5,7.5,1216,229,male,24,73,8,8,8,8,7,7,1532,229,TRUE
female,26,70,5.5,7.5,7.5,7.5,7.5,7.5,806,230,male,31,71,5.5,7.5,7.5,8,7.5,7.5,516,181,FALSE
female,26,69,5.5,7.5,7.5,7.5,7.5,7.5,969,262,male,30,74,5,8,7.5,8,7.5,7.5,514,251,FALSE
female,24,65,7,7.5,7,7.5,7.5,7,569,218,male,26,73,7,7.5,7.5,7.5,8,7.5,1358,400,TRUE
female,29,67,6,7.5,7.5,7.5,8,8,2027,205,male,34,72,6.5,7.5,7.5,7.5,8,7.5,513,61,TRUE
female,26,68,5,7.5,7.5,8,7,7,641,473,male,25,70,5,7.5,7.5,7.5,7,7,904,441,FALSE
female,28,60,5,8,7,7.5,7.5,7.5,335,404,male,25,75,5,7.5,7.5,8,7.5,7.5,659,402,FALSE
